,lemma,pos,synset_cnt,p_cnt,ptr_symbol,sense_cnt,tagsense_cnt,synset_offset
20425,unworldly,a,2,3,"['!', '&', '^']",2,0,"['02578235', '02273088']"
20426,unworried,a,1,1,&,1,0,02459465
20427,unworthy,a,3,5,"['!', '&', '^', '=', '+']",3,1,"['02588099', '02588421', '01133017']"
20428,unwounded,a,1,1,&,1,0,01319807
20429,unwoven,a,1,2,"['!', '&']",1,0,['02579952']
20430,unwrapped,a,1,1,!,1,0,02087723
20431,unwrinkled,a,1,2,"['!', '^']",1,1,['01360692']
20432,unwritten,a,3,2,"['!', '&']",3,1,"['02286927', '02284169', '02213557']"
20433,unyielding,a,2,2,"['&', '+']",2,0,"['02327569', '01152620']"
20434,up,a,8,4,"['!', '&', '^', ';']",8,4,"['02490170', '00186925', '02487108', '02485488', '01845002', '01208146', '01091995', '01004245']"
20435,up-and-coming,a,1,1,&,1,0,00885099
20436,up-to-date,a,2,2,"['&', '+']",2,1,"['00668208', '00972642']"
20437,up-to-the-minute,a,1,1,&,1,0,00668366
20438,up_in_the_air,a,2,1,['&'],2,1,"['00336724', '00342139']"
20439,up_on,a,1,1,&,1,0,01306645
20440,up_to,a,2,1,['&'],2,2,"['00294056', '00051373']"
20441,up_to_her_neck,a,1,1,&,1,0,01516605
20442,up_to_his_neck,a,1,1,&,1,0,01516605
20443,up_to_my_neck,a,1,1,&,1,0,01516605
20444,up_to_our_necks,a,1,1,&,1,0,01516605
20445,up_to_their_necks,a,1,1,&,1,0,01516605
20446,up_to_your_neck,a,1,1,&,1,0,01516605
20447,upbeat,a,1,1,&,1,1,01664015
20448,upbound,a,1,1,&,1,0,02491578
20449,upcoming,a,1,1,&,1,1,01732601
20450,upcountry,a,1,1,&,1,0,00463917
20451,upcurved,a,1,1,&,1,0,02317258
20452,upended,a,1,1,&,1,0,01233960
20453,upfield,a,1,2,"['&', ';']",1,0,['02491708']
20454,upfront,a,1,1,&,1,0,00766348
20455,uphill,a,1,1,&,1,0,02484530
20456,upland,a,1,2,"['!', '&']",1,1,['01219111']
20457,uplifted,a,1,2,"['&', ';']",1,1,['00705776']
20458,upmarket,a,1,2,"['!', '&']",1,0,['02488118']
20459,upmost,a,1,1,&,1,0,02440461
20460,upon_one's_guard,a,1,1,&,1,1,00162661
20461,upper,a,3,1,['&'],3,2,"['02440617', '01206318', '02340096']"
